날짜,요일,노출수,클릭수,CTR,평균 CPC,비용,구매,전환율,전환당비용,예산 소진,학습 기간
2026-07-06,월,313,26,8.21%,1867,48000,1.00,3.89%,48000,Y,Y
2026-07-07,화,311,27,8.75%,1762,48000,1.00,3.67%,48000,Y,Y
2026-07-08,수,320,24,7.59%,1978,48000,0.00,0.00%,,Y,Y
2026-07-09,목,339,26,7.79%,1816,48000,0.00,0.00%,,Y,Y
2026-07-10,금,438,29,6.55%,1676,48000,0.00,0.00%,,Y,Y
2026-07-11,토,443,29,6.63%,1632,48000,0.00,0.00%,,Y,Y
2026-07-12,일,443,31,6.98%,1552,48000,0.00,0.00%,,Y,Y
2026-07-13,월,528,33,6.22%,1462,48000,0.00,0.00%,,Y,
2026-07-14,화,460,33,7.12%,1465,48000,2.00,6.11%,24000,Y,
2026-07-15,수,433,33,7.55%,1468,48000,1.00,3.06%,48000,Y,
2026-07-16,목,427,35,8.10%,1387,48000,0.00,0.00%,,Y,
2026-07-17,금,459,39,8.49%,1233,48000,1.00,2.57%,48000,Y,
2026-07-18,토,507,36,7.03%,1349,48000,1.00,2.81%,48000,Y,
2026-07-19,일,506,34,6.71%,1414,48000,1.00,2.95%,48000,Y,
2026-07-20,월,441,38,8.54%,1273,48000,3.00,7.96%,16000,Y,
2026-07-21,화,472,37,7.77%,1310,48000,3.00,8.19%,16000,Y,
2026-07-22,수,452,40,8.93%,1187,48000,0.00,0.00%,,Y,
2026-07-23,목,489,32,6.58%,1492,48000,0.00,0.00%,,Y,
2026-07-24,금,424,37,8.84%,1280,48000,0.00,0.00%,,Y,
2026-07-25,토,426,37,8.70%,1295,48000,0.00,0.00%,,Y,
2026-07-26,일,480,35,7.23%,1383,48000,0.00,0.00%,,Y,
2026-07-27,월,496,39,7.92%,1221,48000,0.00,0.00%,,Y,
2026-07-28,화,475,34,7.25%,1394,48000,0.00,0.00%,,Y,
2026-07-29,수,401,35,8.70%,1377,48000,0.00,0.00%,,Y,
2026-07-30,목,464,40,8.55%,1209,48000,0.00,0.00%,,Y,
2026-07-31,금,457,37,8.11%,1294,48000,1.00,2.70%,48000,Y,
2026-08-01,토,501,35,7.06%,1356,48000,1.00,2.82%,48000,Y,
2026-08-02,일,497,34,6.90%,1399,48000,0.00,0.00%,,Y,
2026-08-03,월,521,34,6.46%,1426,48000,1.00,2.97%,48000,Y,
2026-08-04,화,462,36,7.72%,1348,48000,0.00,0.00%,,Y,
합계,,13387,1015,7.58%,1419,1440000,17.00,1.68%,84706,,
