구분,값,노출수,클릭수,CTR,비용,구매
기기,휴대전화,10169,795,7.82%,1163000,14.00
기기,컴퓨터,2481,171,6.89%,216601,3.00
기기,태블릿,737,48,6.58%,60399,0.00
시간대,00:00,159,10,6.02%,7800,0.00
시간대,01:00,90,5,6.02%,4388,0.00
시간대,02:00,50,3,6.02%,2438,0.00
시간대,03:00,30,2,6.02%,1463,0.00
시간대,04:00,30,2,6.02%,1463,0.00
시간대,05:00,60,4,6.02%,2925,0.00
시간대,06:00,183,13,7.06%,16251,0.39
시간대,07:00,340,24,7.06%,30181,0.73
시간대,08:00,497,35,7.06%,44111,1.07
시간대,09:00,576,41,7.06%,51076,1.23
시간대,10:00,602,42,7.06%,53398,1.29
시간대,11:00,602,42,7.06%,53398,1.29
시간대,12:00,610,44,7.16%,58350,0.92
시간대,13:00,610,44,7.16%,58350,0.92
시간대,14:00,637,46,7.16%,61002,0.96
시간대,15:00,665,48,7.16%,63655,1.00
시간대,16:00,693,50,7.16%,66307,1.04
시간대,17:00,776,56,7.16%,74264,1.17
시간대,18:00,1085,89,8.19%,138588,0.88
시간대,19:00,1296,106,8.19%,165536,1.05
시간대,20:00,1386,114,8.19%,177085,1.12
시간대,21:00,1206,99,8.19%,153987,0.98
시간대,22:00,784,64,8.19%,100091,0.63
시간대,23:00,422,35,8.19%,53895,0.34
