키워드,광고그룹,검색유형,품질평가점수,광고 관련성,예상 CTR,방문 페이지,노출수,클릭수,CTR,평균 CPC,비용,구매,고객 아님
헤드폰,광고그룹 1,일치검색,8,평균 이상,평균,평균 이상,2530,449,17.76%,1108,497557,11.00,
카메라,광고그룹 1,구문검색,8,평균 이상,평균,평균 이상,4000,227,5.67%,1766,400756,1.00,
카메라,광고그룹 1,일치검색,8,평균 이상,평균,평균 이상,1682,156,9.29%,1745,272642,5.00,
오디오,광고그룹 1,구문검색,4,평균 미만,평균 미만,평균 이상,2330,44,1.88%,1790,78330,0.00,
플레이스테이션5,광고그룹 1,일치검색,4,평균 미만,평균 미만,평균,987,38,3.87%,1750,66769,0.00,
오디오,광고그룹 1,일치검색,5,평균 미만,평균 미만,평균 이상,1064,35,3.30%,1740,61168,0.00,
카메라 렌즈,광고그룹 1,일치검색,6,평균,평균,평균,497,36,7.23%,1523,54717,0.00,
소니 공식스토어,광고그룹 1,구문검색,7,평균 이상,평균,평균,73,10,13.92%,213,2166,0.00,
소니 교육할인,광고그룹 1,일치검색,6,평균 이상,평균,평균,33,5,14.80%,344,1687,0.00,
소니 쿠팡,광고그룹 1,구문검색,5,평균,평균,평균,77,4,5.46%,390,1640,0.00,
소니 네이버스토어,광고그룹 1,일치검색,6,평균,평균,평균,45,4,8.34%,248,941,0.00,
소니 프로모션,광고그룹 1,일치검색,6,평균,평균,평균,35,2,6.79%,246,579,0.00,
소니 공식몰,광고그룹 1,일치검색,6,평균,평균,평균,15,3,17.96%,217,575,0.00,
소니 학생 할인,광고그룹 1,구문검색,5,평균,평균 미만,평균,8,1,10.48%,385,385,0.00,
소니스토어 매장 찾기,광고그룹 1,일치검색,3,평균 미만,평균 미만,평균,11,0,2.81%,88,88,0.00,
소니스토어 매장 찾기,광고그룹 1,일치검색,3,평균 미만,평균 미만,평균,0,0,0.00%,0,0,0.00,
