검색어,관련도,일치 키워드,광고그룹,검색유형,노출수,클릭수,CTR,비용,구매,전환당비용
헤드폰,정확 일치,헤드폰,광고그룹 1,일치검색,2530,449,17.76%,497557,11.00,45232
카메라,정확 일치,카메라,광고그룹 1,구문검색,3074,235,7.65%,412122,6.00,68687
오디오,정확 일치,오디오,광고그룹 1,구문검색,2029,53,2.63%,93620,0.00,
저렴한 카메라,관련,카메라,광고그룹 1,구문검색,899,51,5.67%,90042,0.00,
카메라 문의,관련,카메라,광고그룹 1,구문검색,884,50,5.67%,88558,0.00,
카메라 요금,관련,카메라,광고그룹 1,구문검색,825,47,5.67%,82675,0.00,
플레이스테이션5,정확 일치,플레이스테이션5,광고그룹 1,일치검색,987,38,3.87%,66769,0.00,
카메라 렌즈,정확 일치,카메라 렌즈,광고그룹 1,일치검색,497,36,7.23%,54717,0.00,
오디오 문의,관련,오디오,광고그룹 1,구문검색,829,16,1.88%,27869,0.00,
직접 오디오,관련,오디오,광고그룹 1,구문검색,536,10,1.88%,18009,0.00,
소니 교육할인,정확 일치,소니 교육할인,광고그룹 1,일치검색,33,5,14.80%,1687,0.00,
소니 네이버스토어,정확 일치,소니 네이버스토어,광고그룹 1,일치검색,45,4,8.34%,941,0.00,
소니 공식스토어,정확 일치,소니 공식스토어,광고그룹 1,구문검색,29,4,13.92%,867,0.00,
소니 공식스토어 신청,관련,소니 공식스토어,광고그룹 1,구문검색,27,4,13.92%,788,0.00,
소니 프로모션,정확 일치,소니 프로모션,광고그룹 1,일치검색,35,2,6.79%,579,0.00,
소니 공식몰,정확 일치,소니 공식몰,광고그룹 1,일치검색,15,3,17.96%,575,0.00,
소니 공식스토어 할인,관련,소니 공식스토어,광고그룹 1,구문검색,17,2,13.92%,511,0.00,
소니 쿠팡,정확 일치,소니 쿠팡,광고그룹 1,구문검색,24,1,5.46%,508,0.00,
소니 쿠팡 할인,관련,소니 쿠팡,광고그룹 1,구문검색,21,1,5.46%,439,0.00,
가까운 소니 쿠팡,관련,소니 쿠팡,광고그룹 1,구문검색,20,1,5.46%,417,0.00,
소니 쿠팡 요금,관련,소니 쿠팡,광고그룹 1,구문검색,13,1,5.46%,276,0.00,
소니 학생 할인,정확 일치,소니 학생 할인,광고그룹 1,구문검색,2,0,10.48%,117,0.00,
소니 학생 할인 가격,관련,소니 학생 할인,광고그룹 1,구문검색,2,0,10.48%,111,0.00,
소니 학생 할인 비교,관련,소니 학생 할인,광고그룹 1,구문검색,2,0,10.48%,91,0.00,
소니스토어 매장 찾기,정확 일치,소니스토어 매장 찾기,광고그룹 1,일치검색,11,0,2.81%,88,0.00,
소니 학생 할인 신청,관련,소니 학생 할인,광고그룹 1,구문검색,1,0,10.48%,66,0.00,
